temp,demand,split
0.7728,386.0,train
0.7323,383.8,val
0.4175,279.8,train
0.7874,372.4,test
0.7355,458.4,test
0.9712,181.4,train
0.9218,235.6,test
0.6905,331.8,train
0.8276,304.5,val
0.6573,475.3,train
0.5288,344.2,test
0.9689,167.7,test
0.2095,185.9,train
0.465,327.0,val
0.2593,203.5,val
0.9258,286.8,train
0.6955,430.9,val
0.2955,276.5,train
0.9443,44.5,train
0.7682,296.7,train
0.2987,284.7,test
0.681,342.1,val
0.1881,160.6,val
0.3726,200.3,test
0.7729,403.4,test
0.2634,191.8,train
0.4716,314.1,test
0.8372,273.1,train
0.8256,267.8,test
0.93,236.5,train
0.4311,391.6,train
0.3456,254.0,train
0.7723,368.2,val
0.0824,72.5,val
0.0989,72.6,val
0.4925,378.1,val
0.0142,-5.8,train
0.0294,60.1,train
0.7359,386.7,val
0.4073,362.7,test
0.7515,411.3,train
0.8041,337.2,train
0.1272,-12.7,train
0.9502,107.0,train
0.2698,195.3,train
0.03,135.0,train
0.9054,255.3,test
0.9503,80.1,train
0.0582,213.2,train
0.2755,97.1,val
0.676,542.5,train
0.7807,288.7,test
0.5917,407.6,val
0.919,232.1,train
0.5522,458.1,train
0.6936,433.7,val
0.0397,132.2,val
0.0318,16.6,test
0.6669,403.7,test
0.3112,139.4,train
0.3775,272.0,test
0.4605,337.5,val
0.8539,282.2,train
0.7298,345.8,train
0.7647,402.1,train
0.3223,202.4,train
0.6759,436.1,val
0.3343,185.8,test
0.3199,178.5,test
0.8322,287.1,train
0.1758,184.8,train
0.1848,216.5,train
0.2992,192.5,test
0.9165,196.7,train
0.5322,391.7,train
0.1482,192.8,test
0.113,82.3,train
0.4978,358.9,val
0.3593,221.4,train
0.724,382.5,val
0.8058,280.1,val
0.2913,174.5,test
0.4016,364.6,train
0.3794,328.0,train
0.5773,451.2,val
0.1057,75.3,val
0.6594,415.4,test
0.7626,427.6,val
0.6721,487.6,train
0.9905,70.3,train
0.0525,3.3,val
0.6099,417.5,train
0.222,137.5,val
0.8437,279.4,test
0.3936,275.7,test
0.361,157.9,test
0.4798,453.2,train
0.686,348.4,train
0.2614,128.4,train
0.1871,57.1,train
0.1653,216.0,test
0.2038,89.2,test
0.5005,408.7,val
0.8901,199.3,train
0.6163,342.1,test
0.5889,469.5,train
0.164,82.1,train
0.7728,421.3,train
0.9344,156.6,train
0.4441,293.3,val
0.0605,104.2,train
0.7469,404.3,train
0.0897,46.5,train
0.2272,84.0,train
0.5646,432.6,train
0.9293,213.7,val
0.5565,325.6,val
0.3869,253.1,train
0.4313,374.1,train
0.2451,127.8,test
0.9167,260.8,val
0.0344,135.5,test
0.191,131.4,train
0.5915,521.2,train
0.0067,257.7,train
0.7933,309.8,train
0.3745,159.3,test
0.4177,332.5,train
0.5265,358.6,val
0.0956,-18.0,val
0.0747,69.7,test
0.1084,8.0,test
0.944,166.6,val
0.2939,108.0,train
0.5276,517.8,val
0.1352,125.8,train
0.0002,104.2,val
0.1341,76.1,train
0.676,508.6,train
0.7351,493.4,val
0.9584,92.9,train
0.857,243.7,test
0.3916,305.7,train
0.6064,468.4,train
0.7098,382.8,val
0.7864,381.8,train
0.948,221.4,train
0.9808,197.4,train
0.7925,356.9,train
0.1258,127.0,test
0.186,65.3,test
0.7562,493.5,val
0.8186,318.3,train
0.8225,369.8,train
0.5642,475.3,val
0.1483,75.9,val
0.6415,369.8,train
0.3529,250.1,test
0.9036,250.1,train
0.2497,188.9,train
0.2617,253.1,train
0.6278,404.5,train
0.865,319.2,train
0.2761,130.6,train
0.6307,438.5,train
0.4974,284.0,train
0.2642,124.7,train
0.3229,238.9,test
0.1601,148.4,train
0.4655,435.5,train
0.1485,79.3,test
0.8121,315.2,train
0.7704,328.2,val
0.3053,210.8,test
0.3559,370.3,train
0.4421,214.0,val
0.457,380.9,val
0.2645,352.4,train
0.5349,496.6,train
0.1049,127.2,test
0.7674,345.7,val
0.1486,64.0,train
0.9025,167.3,train
0.3764,318.3,val
0.1141,124.1,test
0.9927,183.7,train
0.9988,260.2,train
0.6941,424.7,val
0.2928,250.9,test
0.6055,386.7,test
0.547,384.8,train
0.8452,343.2,val
0.2415,146.6,train
0.03,108.9,train
0.9998,136.3,val
0.2545,168.3,train
0.2801,236.1,train
0.5061,399.3,test
0.5126,402.5,val
0.7872,352.3,train
0.9386,176.1,train
0.3958,323.6,test
0.9857,198.3,val
0.9212,77.2,train
0.0088,180.3,train
0.6176,529.2,val
0.0988,10.8,val
0.4677,405.9,test
0.4673,329.0,train
0.3814,231.3,test
0.9435,143.3,val
0.7312,402.4,train
0.4198,314.8,train
0.3254,179.2,train
0.192,111.2,val
0.5084,306.4,val
0.3756,278.0,test
0.7847,272.7,train
0.9743,150.8,test
0.2577,139.8,val
0.8067,278.8,train
0.6534,387.7,val
0.5582,373.2,train
0.1418,150.5,test
0.1373,71.6,val
0.5599,377.9,train
0.8201,266.3,val
0.3593,255.1,test
0.7609,444.5,train
0.7084,338.5,train
0.9717,181.3,train
0.3985,333.6,val
0.8637,178.6,val
0.5633,433.7,test
0.0103,77.3,train
0.2757,143.2,val
0.7439,423.5,train
0.7046,335.9,train
0.3432,298.9,train
0.4899,477.3,train
0.6873,348.3,train
0.3058,119.6,val
0.917,280.0,train
0.2335,146.5,train
0.8785,188.6,val
0.5229,399.4,train
0.7498,367.0,val
0.6636,450.4,train
0.1593,1.4,test
0.4234,333.1,train
0.5795,314.8,val
0.0161,14.6,train
0.7931,398.0,test
0.0331,-50.2,train
0.8299,346.4,test
0.4815,476.7,val
0.9433,267.1,train
0.0119,68.7,train
0.4671,280.5,test
0.0941,80.4,train
0.2952,157.3,test
0.795,416.6,test
0.5952,396.4,train
0.3645,237.9,val
0.3098,151.8,train
0.9841,115.1,val
0.7098,498.4,train
0.6459,500.4,test
0.0211,182.7,val
0.8388,268.9,train
0.1103,78.6,train
0.8179,382.2,train
0.2095,177.3,test
0.7624,352.0,val
0.8742,282.4,train
0.9542,287.3,train
0.0117,136.9,train
0.8397,291.7,train
0.7186,495.2,train
0.9112,246.9,train
0.4842,335.1,test
0.6259,511.8,train
0.1467,137.3,train
0.0877,49.2,test
0.7503,402.7,test
0.2325,220.4,train
0.5171,331.5,train
0.4041,289.7,test
0.4514,281.6,test
0.5609,396.1,test
0.6177,411.6,val
0.8694,252.5,train
0.5322,475.8,train
0.6487,392.5,train
0.0519,10.4,train
0.4348,261.3,val
0.8709,306.5,train
0.0994,176.5,val
0.9567,210.9,test
0.0774,172.0,train
0.0065,61.7,train
0.2159,307.9,train
0.3539,216.1,test
0.5963,420.3,train
0.203,117.7,train
0.3566,233.6,train
0.5699,328.4,train
0.0921,102.9,train
0.4503,333.7,val
0.079,-15.8,train
0.5197,396.9,train
0.5005,329.9,train
0.3468,198.2,train
0.1202,145.4,train
0.3077,145.1,train
0.1344,87.2,val
0.8904,204.8,val
0.8111,387.4,test
0.4016,314.9,val
0.8075,419.3,train
0.326,247.4,test
0.9352,153.1,train
0.0287,121.2,test
0.1871,55.2,train
0.8288,333.5,test
0.3192,240.6,val
0.4943,413.6,test
0.0638,102.1,train
0.5994,384.3,test
0.1706,44.4,test
0.4125,279.3,test
0.4846,332.4,test
0.064,25.0,train
0.8271,381.8,train
0.1508,46.9,val
0.5066,350.6,train
0.0217,171.6,test
0.2795,246.2,train
0.5276,335.6,test
0.6742,487.6,val
0.2766,200.5,train
0.5716,406.5,test
0.3759,200.9,test
0.4387,354.1,val
0.3528,287.1,train
0.4353,267.1,test
0.6058,415.0,train
0.8421,226.3,val
0.8772,300.6,train
0.3138,198.2,val
0.4149,339.8,train
0.4403,280.5,val
0.7213,416.6,test
0.0438,70.5,val
0.5876,495.7,test
0.0605,112.0,val
0.3211,223.4,train
0.5679,423.1,train
0.6029,515.0,val
0.0283,66.4,test
0.2091,96.4,val
0.6493,385.5,test
0.0252,76.0,train
0.5315,295.8,test
0.2328,102.8,test
0.459,436.6,val
0.7796,330.8,train
0.9204,199.4,val
0.5195,305.9,test
0.2596,84.0,train
0.5962,342.3,val
0.6773,393.1,train
0.5541,394.7,train
0.5591,302.8,train
0.7359,406.8,val
0.0614,249.4,train
0.9436,243.0,val
0.484,319.7,val
0.425,379.0,train
0.5698,433.5,train
0.9726,181.3,train
0.0651,88.9,train
0.8528,365.2,test
0.1502,57.2,train
0.3434,208.6,train
0.0292,6.9,train
0.7332,412.3,train
0.1022,128.7,test
0.7242,484.2,train
0.0401,26.7,train
0.2482,143.8,train
0.6352,514.9,val
0.7195,344.7,val
0.2921,224.8,train
0.0271,0.1,train
0.1897,123.9,train
0.6644,528.3,train
0.4399,343.9,val
0.6093,484.1,train
0.7071,352.2,train
0.971,165.7,test
0.3665,269.7,test
0.0151,78.4,train
0.5914,489.8,test
0.8151,329.0,test
0.7919,324.2,train
0.8302,192.8,test
0.9984,96.4,train
0.4319,376.1,train
0.0132,25.5,val
0.0855,119.2,test
0.0767,101.5,train
0.1528,87.8,train
0.9912,171.2,test
0.0665,134.4,test
0.3979,283.1,train
0.1792,132.8,val
0.5253,340.3,val
0.4021,280.7,train
0.5803,488.6,train
0.3756,282.3,train
0.2603,174.9,train
0.7563,476.8,train
0.0104,39.5,train
0.0263,87.5,val
0.6707,528.4,test
0.3016,159.6,val
0.4694,427.7,val
0.7238,290.2,train
0.4725,299.2,train
0.3743,247.3,train
0.7766,348.8,train
0.3215,257.7,train
0.4302,196.6,train
0.0411,-57.9,train
0.3168,251.4,train
0.1373,123.2,test
0.7519,356.6,test
0.6331,379.8,train
0.7929,255.2,test
0.5809,499.5,test
0.1637,154.5,val
0.8478,298.8,val
0.1118,50.4,val
0.6624,456.1,train
0.9354,146.3,val
0.4205,348.7,train
0.6838,449.9,test
0.2728,333.7,train
0.8055,369.7,val
0.4477,370.7,test
0.904,223.8,train
0.7319,360.8,val
0.4465,310.3,val
0.7394,359.8,val
0.4373,332.9,test
0.0107,44.5,train
0.535,338.4,test
0.7464,424.9,train
0.9142,289.3,test
0.6297,449.4,train
0.6561,491.9,train
0.9193,157.0,val
0.7016,436.7,train
0.7867,212.3,train
0.8953,251.1,val
0.2368,84.5,train
0.697,338.5,val
0.4973,331.4,test
0.2638,167.5,train
0.9823,223.6,test
0.087,146.2,test
0.3797,257.3,test
0.3114,135.6,val
0.0339,100.0,test
0.2949,201.0,train
0.2624,212.9,val
0.6266,505.8,val
0.8656,224.0,train
0.3874,354.7,train
0.8399,234.0,test
0.9282,241.4,test
0.8562,268.1,test
0.6373,458.5,test
0.9439,226.3,val
0.8761,278.0,train
0.1659,134.2,test
0.4414,389.2,train
0.8801,367.0,train
0.9591,217.5,val
0.7332,337.8,test
0.6339,461.4,val
0.7802,330.2,train
0.5309,450.0,train
0.5622,412.0,train
0.6478,438.5,val
0.9784,119.3,test
0.5566,420.7,train
0.3793,282.4,test
0.0112,44.1,val
0.5346,429.9,train
0.2134,175.2,train
0.4637,381.7,test
0.603,467.0,val
0.1284,0.3,val
0.9329,223.5,test
0.9329,205.0,train
0.8049,417.3,train
0.0747,147.7,val
0.069,29.9,test
0.8154,341.5,val
0.9396,193.7,train
0.6957,408.0,test
0.1972,-24.4,train
0.7403,425.5,train
0.7198,289.9,train
0.4733,398.0,train
0.5074,477.6,test
0.674,393.9,val
0.8969,294.8,val
0.2196,96.2,test
0.2049,162.1,val
0.6233,476.2,test
0.6826,459.5,train
0.8931,319.7,train
0.121,107.3,train
0.2637,198.4,train
0.2782,68.6,train
0.049,84.2,test
0.9498,98.7,val
0.3595,239.1,test
0.9821,97.2,val
0.7214,404.2,val
0.582,439.3,val
0.5417,367.3,train
0.3333,84.0,train
0.487,400.6,train
0.1818,86.5,test
0.4274,404.6,train
0.0269,7.4,train
0.682,430.7,train
0.9617,114.0,val
0.6519,388.6,train
0.2706,170.5,train
0.9131,279.1,train
0.4136,271.2,test
0.4027,357.1,test
0.8161,249.8,val
0.7885,416.9,train
0.8792,267.2,test
0.4102,270.3,train
0.5647,263.8,val
0.1937,106.0,test
0.2041,81.0,train
0.2866,185.0,train
0.6709,450.2,train
0.5221,380.2,train
0.6853,494.5,train
0.5865,414.9,test
0.4403,266.5,train
0.8789,244.7,test
0.2998,154.6,test
0.1005,134.3,train
0.8923,243.8,val
0.2171,103.9,train
0.4722,383.5,train
0.3087,163.4,train
0.0443,23.6,train
0.6989,466.4,train
0.2556,172.1,val
0.7968,442.9,train
0.4037,283.6,test
0.8838,238.7,train
0.7613,377.3,train
0.3678,224.0,val
0.7117,385.5,train
0.6067,487.5,val
0.9457,231.6,val
0.6415,464.0,test
0.2575,117.5,val
0.8511,350.3,val
0.3143,156.3,train
0.1795,105.3,train
0.9415,98.4,val
0.8895,299.6,val
0.0563,62.8,test
0.0786,111.1,val
0.8838,198.3,test
0.9783,161.0,test
0.6886,463.4,test
0.3629,307.8,train
0.2341,40.4,train
0.705,392.1,train
0.7086,433.8,val
0.3638,278.7,train
0.1622,77.4,val
0.1407,162.9,train
0.1124,67.3,train
0.641,426.8,train
0.4881,376.5,train
0.6006,444.6,train
0.8134,248.5,val
0.8507,131.4,val
0.497,425.8,test
0.5011,383.6,train
0.251,134.1,val
0.6172,439.3,val
0.1484,64.7,train
0.6205,537.9,test
0.5765,381.8,val
0.5182,475.1,train
0.4765,275.4,val
0.3384,275.0,train
0.9576,126.2,train
0.935,215.6,train
0.8078,391.2,train
0.3087,235.5,train
0.5304,534.8,train
0.2619,122.8,val
0.312,185.3,test
0.5937,393.7,val
0.4543,281.7,train
0.0196,-31.1,train
0.5175,473.4,test
0.6312,414.2,test
0.6181,401.0,test
0.4216,412.4,train
0.2913,104.9,train
0.1698,97.4,train
